Sl No.,Match Date,Team 1,Team 2,Stadium Name,Stadium Location,Match Result,Top Scorer Name,Top Scorer Runs
1,04/01/2026,Australia,England,Sydney Cricket Ground,Sydney,Australia won by 5 wickets,Travis Head,163
2,26/12/2025,England110 & 178/6,Australia,Melbourne Cricket Ground,Melbourne,England won by 4 wickets,Travis Head,46
3,17/12/2025,Australia,England,Adelaide Oval,Adelaide,Australia won by 82 runs,Travis Head,170
4,04/12/2025,Australia,England,Brisbane Cricket Ground,Brisbane,Australia won by 8 wickets,Joe Root,138
5,21/11/2025,Australia,England,Perth Stadium,Perth,Australia won by 8 wickets,Travis Head,123
6,31/07/2025,India224 & 396,England,Kennington Oval,London,India won by 6 runs,Yashasvi Jaiswal,118
7,23/07/2025,N/A,N/A,Old Trafford,Manchester,Match drawn,Joe Root,150
8,10/07/2025,England,India,Lord's,London,England won by 22 runs,Joe Root,104
9,02/07/2025,India587 & 427/6 dec,England,Edgbaston,Birmingham,India won by 336 runs,Shubman Gill*,269
10,20/06/2025,England,India,Headingley,Leeds,England won by 5 wickets,Ben Duckett,149
1,22/11/2025,South Africa489 & 260/5 dec,India,Barsapara Cricket Stadium,Guwahati,South Africa won by 408 runs,Senuran Muthusamy,109
2,14/11/2025,South Africa159 & 153,India,Eden Gardens,Kolkata,South Africa won by 30 runs,Temba Bavuma*,55
3,10/10/2025,India,West Indies,Arun Jaitley Stadium,Delhi,India won by 7 wickets,Yashasvi Jaiswal,175
4,02/10/2025,India,West Indies,Narendra Modi Stadium,Ahmedabad,India won by an innings and 140 runs,Dhruv Jurel†,125
5,31/07/2025,India224 & 396,England,Kennington Oval,London,India won by 6 runs,Yashasvi Jaiswal,118
6,23/07/2025,N/A,N/A,Old Trafford,Manchester,Match drawn,Joe Root,150
7,10/07/2025,England,India,Lord's,London,England won by 22 runs,Joe Root,104
8,02/07/2025,India587 & 427/6 dec,England,Edgbaston,Birmingham,India won by 336 runs,Shubman Gill*,269
9,20/06/2025,England,India,Headingley,Leeds,England won by 5 wickets,Ben Duckett,149
10,03/01/2025,Australia,India,Sydney Cricket Ground,Sydney,Australia won by 6 wickets,Rishabh Pant†,61
